variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
PT,0.5,1024,1234,42,44,2.204190820975782e-07,1.0,4.579225958423194e-07,1.0,4.1480041090835584e-07,1.0,2.0775088594171707,1.8818716009566094
PT,0.5,1024,1235,41,43,4.4248074004826776e-07,1.0,8.165578719854238e-07,1.0,7.976807410159381e-07,1.0,1.8454088462615346,1.8027468064009375
PT,0.5,1024,1235,41,44,5.877741955373494e-07,1.0,7.413574394377065e-07,1.0,7.11631969352311e-07,1.0,1.2612963363591516,1.2107233947242775
PT,0.5,1024,1235,42,43,4.3341614741621015e-07,1.0,7.44915041650529e-07,1.0,7.257578999997349e-07,1.0,1.7187062505430515,1.6745059092198256
PT,0.5,1024,1235,42,44,5.477835429701372e-07,1.0,7.838650617486564e-07,1.0,6.281475180003326e-07,1.0,1.4309759243559264,1.1467075381535814
PT,0.5,1024,1236,41,43,3.033770781257772e-07,1.0,4.147521224240336e-07,1.0,4.1717012777553464e-07,1.0,1.3671175323670346,1.3750878291555697
PT,0.5,1024,1236,41,44,3.663100756057247e-07,1.0,5.602989858743967e-07,1.0,4.954432029080635e-07,1.0,1.5295756878865396,1.3525240933894769
PT,0.5,1024,1236,42,43,5.474522026815976e-07,1.0,1.0632335261107073e-06,1.0,1.0179934406551183e-06,1.0,1.942148594713194,1.8595110873034357
PT,0.5,1024,1236,42,44,1.2013296100121806e-06,1.0,2.1550138171733124e-06,1.0,2.1232556264294544e-06,1.0,1.7938572388567549,1.7674213710656197
PT,0.5,256,1234,41,43,2.6910544193015085e-07,1.0,6.192736918819719e-07,1.0,6.19796367118397e-07,1.0,2.3012306530862014,2.303172922379146
PT,0.5,256,1234,41,44,1.8936809453862224e-07,1.0,3.825078351837874e-07,1.0,3.6435898209674633e-07,1.0,2.0199170093342924,1.9240779867615667
PT,0.5,256,1234,42,43,1.7974664388020756e-06,1.0,2.69056135948631e-06,1.0,3.143979483866133e-06,1.0,1.4968631966666586,1.7491172107566264
PT,0.5,256,1234,42,44,5.915089218433423e-07,1.0,6.972932169446722e-07,1.0,6.733653776791471e-07,1.0,1.1788380381003725,1.1383858346222613
PT,0.5,256,1235,41,43,4.1184102883562446e-07,1.0,5.727813459088793e-07,1.0,5.623906531582179e-07,1.0,1.3907826219458332,1.3655527589085383
PT,0.5,256,1235,41,44,5.596646133199101e-07,1.0,6.308316073955211e-07,1.0,6.252114417293342e-07,1.0,1.127160074769514,1.1171180504348892
PT,0.5,256,1235,42,43,2.63391910948485e-07,1.0,4.844735599363048e-07,1.0,4.6197433789529896e-07,1.0,1.839363852108046,1.753942770040699
PT,0.5,256,1235,42,44,1.889106471253399e-07,1.0,3.8371209143406304e-07,1.0,3.74133520608666e-07,1.0,2.0311829813354816,1.980478741150217
PT,0.5,256,1236,41,43,3.735827363016142e-07,1.0,4.5668093662243336e-07,1.0,4.2771191033352807e-07,1.0,1.2224358682723748,1.144892064788059
PT,0.5,256,1236,41,44,4.4206970528648526e-07,1.0,5.475550324263168e-07,1.0,5.122635116094898e-07,1.0,1.2386169553769157,1.1587844755783823
PT,0.5,256,1236,42,43,4.6511104301316664e-07,1.0,6.041773303877562e-07,1.0,5.826021833854611e-07,1.0,1.2989958838080153,1.2526087955494285
PT,0.5,256,1236,42,44,4.76799584703258e-07,1.0,5.370623625822191e-07,1.0,5.330199428499327e-07,1.0,1.1263901643632226,1.1179119276743166
PT,0.5,512,1234,41,43,2.1380931514158874e-07,1.0,4.126717385588563e-07,1.0,4.1242901716032065e-07,1.0,1.9300924203680132,1.9289571966834187
PT,0.5,512,1234,41,44,2.0544440815228882e-07,1.0,4.866301992478839e-07,1.0,4.84828376556834e-07,1.0,2.368670939377244,2.3599005731878937
PT,0.5,512,1234,42,43,2.053883889630015e-07,1.0,3.7071666270094283e-07,1.0,3.510087651648064e-07,1.0,1.8049543334590519,1.7090000410297626
PT,0.5,512,1234,42,44,1.7867856172415486e-07,1.0,3.387414437838743e-07,1.0,3.316088452720578e-07,1.0,1.8958146993976006,1.855896096723667
PT,0.5,512,1235,41,43,5.991000307403738e-06,1.0,7.114466370694572e-06,1.0,7.20978414392448e-06,1.0,1.1875256227081885,1.2034357826713107
PT,0.5,512,1235,41,44,3.265485872816498e-07,1.0,6.301213488768553e-07,1.0,6.101053600104933e-07,1.0,1.9296404070288398,1.868344815359052
PT,0.5,512,1235,42,43,3.1395458677252464e-07,1.0,9.469591759625473e-07,1.0,9.063209631676727e-07,1.0,3.0162297856430595,2.8867900051555746
PT,0.5,512,1235,42,44,3.1507488529314287e-07,1.0,4.651943754652166e-07,1.0,4.442263161763549e-07,1.0,1.4764565415374313,1.4099070948262051
PT,0.5,512,1236,41,43,3.80332551230822e-07,1.0,6.012089670548448e-07,1.0,5.796058530904702e-07,1.0,1.5807454952494298,1.5239449035186845
PT,0.5,512,1236,41,44,4.106738060727366e-07,1.0,5.663297883984342e-07,1.0,5.454082838696195e-07,1.0,1.379025835161565,1.3280814987577252
PT,0.5,512,1236,42,43,4.3164189378330775e-07,1.0,7.634554890501022e-07,1.0,7.214258630483528e-07,1.0,1.7687242597294577,1.6713527427217756
PT,0.5,512,1236,42,44,3.890800428507646e-07,1.0,5.249999617262802e-07,1.0,4.89290755467664e-07,1.0,1.3493366503191453,1.2575580898024528
POST,0.15,-1,1234,41,43,0.00021077736164443195,1.0,0.00026273721596226096,0.9999216794967651,0.00033035094384104013,0.9998433589935303,1.2465153463941825,1.5672980307928952
